,,,id,country
,,,1,Argentina
,,,2,Armenia
,,,3,Australia
,,,4,Azerbaijan Republic
,,,5,Bahrain
,,,6,Bangladesh
,,,7,Belarus
,,,8,Belize
,,,9,Bulgaria
,,,10,Canada
,,,11, Central America
,,,12,Combodia
,,,13,Cuba
,,,14,Curacao
,,,15,Czeachoslovakia
,,,16,Dominican Republic
,,,17,Ethiopia
,,,18,France
,,,19,Georgia
,,,20,Germany
,,,21,Guyana
,,,22,Hungary
,,,23,Indonesia
,,,24,India
,,,25,Iran
,,,26,Ireland
,,,27,Italy
,,,28,Kazakhstan
,,,29,Kenya
,,,30,Kyrgyzstan
,,,31,Lithuania
,,,32,LosAngeles
,,,33,Malawi
,,,34,Malaysia
,,,35,Mauritius
,,,36,Nepal
,,,37,Netherlands Antilles
,,,38,New Zealand
,,,39,Nigeria
,,,40,Oman
,,,41,Pakistan
,,,42,Panama
,,,43,Philippines
,,,44,Poland
,,,45,Republic of Latvia
,,,46,Republic of Moldova
,,,47,Romania
,,,48,Russian Federation
,,,49,Saudi Arabia
,,,59,Scotland
,,,60,Seychelles
,,,61,Singapore
,,,62,Slovak Republic
,,,63,Sri Lanka
,,,64,Sudan
,,,65,Tajikistan
,,,66,U. A. E.
,,,67,U.S.A.
,,,68,Ukraine
,,,69,United Kingdom
,,,70,West Indies
,,,71,Yemen
,,,72,Zambia
,,,73,Austria
,,,74,Tanzania
,,,75,Tashkent
,,,76,Uganda
